,,,onam,,,,petrol,,,,recharge,,,travel,haircut,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SEPTEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,1929,750,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Food,Rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JUNE,Session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Morning,-,50,50,50,50,50,-,-,50,50,50,50,-,-,-,50,50,50,-,-,-,-,50,50,50,-,-,-,-,50,
,,Afternoon,-,-,-,-,-,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,Night,-,50,-,50,50,50,-,50,50,50,50,50,-,-,50,50,50,50,-,-,-,50,50,50,-,-,-,-,50,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JUNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JULY,Session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Morning,50,50,50,-,-,-,50,50,-,50,-,-,-,50,50,50,50,-,-,-,50,50,50,50,50,-,-,50,50,50,50
,,Afternoon,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,-
,,Night,50,50,50,-,-,-,50,50,50,50,-,-,50,-,-,50,-,-,-,50,50,50,-,-,-,-,50,50,50,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JULY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AUGUST,Session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Morning,-,-,50,-,50,50,50,50,-,50,50,50,50,50,-,-,-,50,50,50,-,50,-,50,50,50,50,50,50,-,-
,,Afternoon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Night,-,-,50,50,50,50,50,50,-,50,50,-,50,-,-,-,100,100,50,-,50,-,-,50,50,50,50,50,-,-,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUGUST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SEPTEMBER,Session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Morning,50,50,50,-,-,-,50,50,50,50,50,50,-,-,,,,,,-,,,,,,,-,,,,
,,Afternoon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,,,,,,,-,,,,
,,Night,50,50,-,-,-,-,50,50,-,50,50,-,-,-,,,,,,-,,,,,,,-,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SEPTEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
